BUG_ID;PACKAGE_NAME
661340;src:xmoto
661384;gdb-msp430
661396;libtonezone2.0
661400;libvala-0.12-dev
661402;manpages-dev
661426;embassy-domalign
661441;src:genshi
661471;gnome-themes-standard
661482;hylafax-server
661492;python-quantumclient
661515;evolution
661519;paml
661667;keystone-doc
661679;libpam-alreadyloggedin
661697;libnss-ldap
661850;automake
661887;zynaddsubfx
661907;miredo
661922;morituri
661991;libtrash
662044;audacious-analog-vumeter-plugin
662130;piwigo
662234;debian-cd
662606;php-horde-core
662628;vlc-plugin-notify
662746;mingw32-ocaml
662772;policycoreutils
662811;src:jmock2
662854;remmina
662938;tomoyo-tools
663186;cl-memstore
663193;gnumeric
663388;gnustep-back-common
663434;rabbitmq-server
663438;libmysqlclient16
663440;icinga-idoutils
663444;bdii
663490;python-libtiff
663503;rabbitmq-server
663539;ekiga
663562;wmmail
663567;wxglade
663644;openldap
663657;src:kdepim
663667;varnish
663671;umview
663674;ztex-bmp
663678;icinga-idoutils
663896;src:rmpi
663943;visualboyadvance
663989;snappea
664054;src:fonts-kanjistrokeorders
664059;python-sendfile,python-sendfile-dbg
664142;installation-reports
664176;libleptonica
664180;lwjgl
664220;torcs-data
664225;plasma-scriptengine-googlegadgets
664282;liblas-dev
664453;pida
664715;kerneloops-daemon
664724;rrdcached
664754;gnuspool
664907;src:tennix
664909;src:stardict-tools
664915;src:tcsh
664925;src:viruskiller
664930;src:openldap
664932;src:aprsdigi
664933;src:fceu
664936;src:ax25mail-utils
664938;src:tqsllib
664941;src:flpsed
664942;src:freepops
664950;src:goplay
664953;src:hpodder
665017;src:libtango
665018;src:python-fixtures
665022;src:sugar-browse-activity-0.84
665023;src:sugar-chat-activity-0.84
665026;src:vxl
665028;src:cvs2svn
665033;src:lwat
665035;src:openmcu
665040;src:slbackup-php
665078;src:jmock2
665054;src:dwarves-dfsg
665057;src:debian-archive-keyring
665060;src:kdepim-runtime
665064;src:kaya
665083;src:kdepim
665199;slapd
665203;snmpd
665221;src:libdancer-plugin-database-perl
665222;src:libcatalyst-modules-perl
665223;src:gitalist
665224;src:ipython
665225;src:libzip
665227;src:conduit
665232;src:libmoosex-method-signatures-perl
665234;src:libpoe-component-client-mpd-perl
665241;src:bustle
665251;src:ruby-treetop
665253;src:xemacs21-packages
665254;src:twidge
665255;src:ruby-net-http-persistent
665261;src:ruby-fast-gettext
665262;src:ruby-childprocess
665296;xml-core
665334;fontforge
665380;debian-archive-keyring
665441;mp3splt-gtk
665476;libsasl2-2
665487;dovecot-managesieved
665498;shotwell
665531;src:gfccore
665608;src:ruby-gnome2
665657;src:ladish
665670;src:gxneur
665671;src:libgconf-bridge
665676;src:fotoxx
665708;src:gdm3
665747;ecl
665749;ca-certificates-java
665754;ca-certificates-java
665784;whiptail
665876;netselect-apt
665894;src:python-dateutil
665899;ruby-sqlite3
665905;syslog-ng
666066;mpich2
666110;openmpi-bin
666148;mendexk
666170;src:ptex-bin
666171;src:texfam
666176;tracker-miner-evolution
666227;tgif
666218;micro-evtd-udeb
666225;src:deja-dup
666231;src:byzanz
666269;mediawiki
666280;src:jlint
666286;src:yasr
666288;src:uw-imap
666300;src:mendexk
666307;src:htp
666310;src:dsdp
666311;src:freeradius
666322;src:python-prctl
666323;src:mp3splt-gtk
666325;src:uudeview
666332;src:hyperestraier
666333;src:libxslt
666334;src:gnustep-back
666337;src:euler
666339;src:tcptrace
666341;src:vgrabbj
666346;src:openjade
666349;src:openais
666351;src:openr2
666352;src:ncftp
666356;src:nickle
666357;src:yubiserver
666362;src:jless
666364;src:haskell-hledger-interest
666366;src:felix-latin
666367;src:eterm
666368;src:hmake
666372;src:genparse
666373;src:scribus
666374;src:device-tree-compiler
666377;src:cameleon
666379;src:gnome-mastermind
666380;src:libiptcdata
666383;src:distcc
666384;src:optgeo
666385;src:libtheora
666468;xorg-server
666502;python-tz
666538;xorg-server
666564;xorg-server
666565;xorg-server
666570;src:vala
666571;src:ant-contrib
666577;src:wagon2
666578;src:developers-reference
666579;src:systraq
666582;src:ruby-cairo
666584;src:conglomerate
666586;src:xmds-doc
666588;src:gauche
666589;src:xastir
666596;src:ruby-mechanize
666597;src:texpower
666598;src:albatross
666603;src:latex-make
666614;src:gfccore
666616;ko.tex-unfonts
666620;src:muse-el
666622;src:refcard
666627;src:pytagsfs
666632;src:oocairo
666641;src:kimwitu++
666644;src:po4a
666645;src:whizzytex
666646;src:chaksem
666647;src:scalable-cyrfonts
666654;src:apt-dpkg-ref
666670;src:dsdo
666671;src:tbb
666672;src:gsasl
666695;xorg-server
666750;debian-installer, grub-installer
666882;ftp.debian.org
666922;xorg-server
666998;xorg-server
667000;objenesis
667002;gnome-session-canberra
667016;jtidy
667021;src:jsoup
667040;libcairo2
667048;xorg-server
667073;xorg-server
667445;xorg-server
667474;libpulse-mainloop-glib0
667520;xorg-server
667526;simgear-dev
667575;dicom3tools,dcap
667599;dolfin-dev
667628;src:libapache2-mod-lisp
667629;src:libapache-mod-auth-radius
667720;trac-mastertickets
667737;libnet-server-perl
667764;strongswan-starter
667809;xorg-server
667827;src:libgdf
667830;src:simgear
667888;src:toonloop
668037;jwhois
668040;jwhois
668065;drupal6
668104;python-pytest-xdist
668178;gogglesmm
668182;xorg-server
668199;libreoffice
668307;initscripts
668343;xorg-server
668383;smokeping
668473;libreoffice-writer2xhtml
668481;noweb
668663;gtimer
668708;libhighgui-dev
668721;sendfile
668722;scanlogd
668757;netdisco-backend,netdisco-frontend
668791;multex-bin
668802;jtex-bin
668848;gnome-packagekit
668920;grub-pc
668943;activemq
668947;bittwist
668993;xorg-server
669098;src:qapt
669110;lusca
669156;src:haskell-language-javascript
669163;src:qapt
669196;libvorbisidec
669215;packagesearch
669246;zfs-fuse
669284;src:gridengine
669309;src:frogatto
669483;src:spl
669379;abntex
669381;jbibtex-base,ptex-base
669382;latex209-base
669384;jxplorer
669386;plywood
669391;ptex-jisfonts
669393;tetex-brev
669395;whizzytex
669431;src:ns2
669432;src:milkytracker
669433;src:grafx2
669434;src:gzip
669435;src:mokomaze
669438;src:gfccore
669439;src:meritous
669440;src:freecraft
669441;src:mutter
669443;src:lttv
669446;src:redhat-cluster
669447;src:bsnes
669449;src:regexxer
669450;src:deja-dup
669451;src:liblicense
